L02_V016, 15604
L02_V016, 15957
L02_V016, 15976
L03_V010, 20770
L03_V010, 21004
L03_V010, 21018
L03_V010, 21033
L03_V010, 21242
L03_V010, 21914
L03_V010, 21977
L03_V010, 21990
L03_V010, 22003
L03_V010, 22016
L03_V013, 21690
L03_V013, 21670
L03_V013, 21650
L03_V013, 21650
L03_V013, 21630
L03_V014, 20883
L03_V014, 20814
L03_V025, 6193
L03_V025, 6207
L03_V025, 6222
L03_V030, 22819
L03_V030, 22753
L03_V029, 24164
L03_V029, 24145
L03_V028, 26887
L04_V013, 25097
L04_V011, 26032
L04_V023, 10443
L04_V023, 10461
L04_V023, 10479
L04_V029, 17036
L04_V029, 17018
L04_V029, 17000
L04_V029, 16890
L04_V031, 23945
L04_V031, 7620
L05_V002, 7012
L05_V002, 7000
L05_V005, 26185
L05_V005, 26170
L05_V005, 26156
L05_V005, 26155
L05_V021, 22363
L05_V021, 22347
L05_V021, 22331
L05_V021, 22111
L05_V021, 22130
L05_V021, 22150
L05_V021, 22170
L05_V021, 22316
L06_V001, 10388
L06_V001, 10418
L06_V001, 10448
L06_V001, 10478
L06_V001, 10480
L05_V025, 26476
L05_V025, 26463
L06_V011, 20180
L06_V011, 20074
L06_V011, 19781
L06_V018, 1512
L06_V018, 17389
L06_V018, 17416
L06_V018, 17443
L06_V020, 16465
L06_V020, 16444
L07_V008, 17077
L07_V009, 22910
L07_V009, 22928
L07_V019, 27004
L07_V019, 25830
L07_V019, 25813
L07_V019, 25488
L07_V019, 25525
L07_V019, 25563
L07_V019, 25602
L07_V020, 20509
L07_V020, 20532
L07_V020, 20555
L07_V024, 5573
L07_V024, 5553
L07_V024, 5533
L07_V024, 5514
L07_V024, 5533
L09_V001, 9643
L09_V001, 9618
L08_V028, 18792
L09_V015, 24903
L09_V015, 24888
L09_V015, 24858
L11_V017, 26164
L11_V018, 23389
L11_V018, 23436
L11_V018, 23459
L11_V018, 23475
L11_V018, 23467
L12_V002, 21819
