Image Path,Recognized Text
/content/drive/MyDrive/data/L02_V019_Reduce/11888.jpg," [[1048.0, 93.0], '18:38:05', [948.0, 152.0], '10', [254.0, 201.0], '011', [556.0, 208.0], 'Srglano', [401.0, 223.0], 'Sankofc', [589.0, 267.0], 'TEN', [265.0, 310.0], '103099928', [541.0, 326.0], 'Qotndo', [703.0, 542.0], 'OOGODGL', [5.0, 653.0], 'Trump', [243.0, 656.0], 'Anh tiep tuc doi mat voi cuoc khung hoang dinh cong nganh y te', [1092.0, 659.0], '6', [1195.0, 655.0], 'Iran kh']"
/content/drive/MyDrive/data/L02_V019_Reduce/11741.jpg," [[53.0, 56.0], '10', [35.0, 89.0], 'f', [529.0, 118.0], 'xank', [36.0, 173.0], 'LOMDON', [37.0, 187.0], 'EDR THE GOVERNOR ANO.COMPAHY', [447.0, 185.0], 'PROMISE TOPAY THE GEARER ON DEMAND THE SUM.O', [35.0, 201.0], 'OFTHEANKOFNGAND', [37.0, 229.0], 'SaahJoh', [35.0, 254.0], 'CHIEFCASHIER', [36.0, 282.0], '.', [28.0, 353.0], 'a', [1160.0, 433.0], '10210', [1163.0, 474.0], '10', [1204.0, 472.0], '10', [349.0, 592.0], 'NGAN HANGANH CONG BOTIEN MOI IN HINH VUA CHARLES II', [1.0, 656.0], 'Ay tam dinh chi viec bai bo chinh sach nhap cu thoi Tong thong Trump', [1011.0, 659.0], 'Anh tiep tuc doi malv']"
/content/drive/MyDrive/data/L02_V019_Reduce/11656.jpg," [[77.0, 61.0], '5', [36.0, 95.0], 'f', [456.0, 87.0], 'BankorSuafoue', [1048.0, 94.0], '18:37955', [38.0, 178.0], 'LONDON', [448.0, 181.0], 'PROMISE TOPAY HEEARRN DEMANDTHESUD', [39.0, 197.0], 'FORTHE GOVERNGRAND COMPANY', [39.0, 213.0], 'OF HE UANK OF EHGLAND', [38.0, 235.0], 'Sarah Joh', [39.0, 267.0], 'CHIEF.CASHIER', [203.0, 267.0], '2', [300.0, 312.0], 'ARAAR', [373.0, 361.0], 'f', [560.0, 361.0], 'CIME', [3.0, 657.0], 'Trump', [245.0, 656.0], 'Toa an Toi cao My tam dinh chi viec bai bo chinh sach nhap cu thoi Tong thong Trum']"
/content/drive/MyDrive/data/L02_V019_Reduce/1173.jpg," [[1053.0, 97.0], '183056', [360.0, 585.0], 'TP.HCMMETRO I KIEM TRA RAYTREN CAO', [361.0, 615.0], 'SAN SANG CHAYTHUNGHIEM VAO NGAY21/12', [721.0, 659.0], '160', [824.0, 656.0], 'UBND TP.HCM tong ket kinh te-xa h']"
/content/drive/MyDrive/data/L02_V019_Reduce/11649.jpg," [[1047.0, 90.0], '18:37955', [1.0, 653.0], 'ld Trump', [284.0, 658.0], 'Toa an Toi caoMy tam dinh chi viec bai bo chinh sach nhap cu thoi Tong thong T']"
/content/drive/MyDrive/data/L02_V019_Reduce/1151.jpg," [[1051.0, 94.0], '18:30:55', [361.0, 588.0], 'TP.HCMMETRO I KIEM TRA RAYTREN CAO', [361.0, 617.0], 'SAN SANG CHAYTHUNGHIEM VAO NGAY21/12', [936.0, 655.0], 'UBND TP.HCM tong ket kinl']"
/content/drive/MyDrive/data/L02_V019_Reduce/1144.jpg," [[1045.0, 91.0], '18:30865', [361.0, 588.0], 'TP.HCM:METRO I KIEM TRA RAYTREN CAO', [363.0, 617.0], 'SANSANG CHAYTHU NGHIEM VAO NGAY21/12', [972.0, 655.0], 'UBNDTP.HCM tong ket']"
/content/drive/MyDrive/data/L02_V019_Reduce/11495.jpg," [[1048.0, 93.0], '18:37.49', [9.0, 654.0], 'tra Ha vien My khuyen nghi dieu tra hinh sur cuu Tong thong Donald Trump', [1088.0, 655.0], 'Toa an Toicao']"
/content/drive/MyDrive/data/L02_V019_Reduce/11342.jpg," [[1048.0, 93.0], '18:37.43', [5.0, 656.0], 'p qui cheti nan cho cuu Tong thong Peru', [659.0, 658.0], 'Uy ban dieu tra Ha vien My khuyen nghi dieu tra l']"
/content/drive/MyDrive/data/L02_V019_Reduce/11287.jpg," [[1045.0, 93.0], '18:374', [47.0, 659.0], 'Mexico san sang cap qui che ti nan cho cuu Tong thong Peru', [947.0, 655.0], 'Uy ban dieu tra Havien M']"
